count	file	class	tokens
214	com/moonsworth/lunar/client/mod/hud/Scoreboard.java	Scoreboard	arg,field,flag,method,number,text,value
214	com/moonsworth/lunar/client/glintcolorizer/Glintcolorizer5_2.java	Glintcolorizer5_2	field,flag,method,text,value
213	com/moonsworth/lunar/genesis/AbstractSetLoader.java	AbstractSetLoader	field,method,number,obj,value
212	com/moonsworth/lunar/client/mod/movement/ToggleSneak.java	ToggleSneak	field,flag,method
212	com/moonsworth/lunar/client/framework/feature/rewind/mixin/Rewind3.java	Rewind3	arg,field,flag,method,number,text
212	com/moonsworth/lunar/client/framework/feature/debug/Debug.java	Debug	arg,field,flag,method,number,text,value
210	com/moonsworth/lunar/client/mod/misc/SkyblockPriceInLore.java	SkyblockPriceInLore	field,flag,method,number,text
210	com/moonsworth/lunar/client/markers/mixin/holograms/Holograms4.java	Holograms4	field,flag,method,number,text,value
210	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/nameplate/Nameplate4.java	Nameplate4	field,flag,method,number,obj
208	com/moonsworth/lunar/forge/lib/guava/math/BigIntegerMath.java	BigIntegerMath	flag,number,value
208	com/moonsworth/lunar/client/mod/misc/ApolloDebugMod.java	ApolloDebugMod	arg,field,flag,method,number,text
208	com/moonsworth/lunar/client/click/chest/Gui2Iterator.java	Gui2Iterator	field,flag,method,number,text,value
207	com/moonsworth/lunar/client/mod/render/Armorstatus.java	Armorstatus	field,flag,method,number
207	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click2.java	Click2	field,flag,method,number,text,value
206	com/moonsworth/lunar/client/mod/render/SkyblockChatWaypoints.java	SkyblockChatWaypoints	field,method,number,obj,text,value
206	com/moonsworth/lunar/client/framework/feature/rewind/rewindhandlers/holograms/Holograms2.java	Holograms2	field,flag,method,number,value
